"Affy133aProbeID","Gene.Symbol.x","LocusLink.x","pvalueCox55","HazardRatio55","HR55lower95","HR55upper95","HR.SD55","pvalueCox65","HazardRatio65","HR65lower95","HR65upper95","ModuleColor55","HR.SD65","colorh1","GS55","kTotal","kWithin","kOut","kDiff","GS65","kTotal.1","kWithin.1","kOut.1","kDiff.1"
"1053_at","RFC2","5982",0.92,1.05,0.6,1.83,0.285,0.326,1.48,0.89,2.45,"grey",0.258,"grey",0.0362121726544447,33.0838555967146,10.3475585773912,22.7362970193234,-12.3887384419322,0.486782399932061,23.9553482391624,9.75561626815544,14.199731971007,-4.44411570285155
"1294_at","UBE1L","7318",0.719,1.27,0.73,2.22,0.284,0.0755,0.819,0.491,1.37,"grey",0.262,"grey",0.143271109617117,13.2131595444518,7.07586014102542,6.13729940342637,0.938560737599046,1.12205304837081,3.96184225705845,1.77486613187512,2.18697612518333,-0.412109993308214
"1598_g_at","GAS6","2621",0.219,0.985,0.564,1.72,0.285,0.941,1.16,0.696,1.94,"blue",0.261,"blue",0.659555885159882,26.6011635326634,23.3474808826476,3.25368265001577,20.0937982326319,0.0264103765727431,12.4255627732245,9.84654129862156,2.57902147460293,7.26751982401863
"200003_s_at","RPL28","6158",0.78,0.946,0.543,1.65,0.283,0.623,1.37,0.818,2.3,"grey",0.263,"grey",0.107905397309520,36.3925240204699,12.0082964557374,24.3842275647325,-12.3759311089952,0.205511953340830,34.7851748289878,13.2127362881556,21.5724385408323,-8.35970225267671
"200011_s_at","ARF3","377",0.929,0.98,0.56,1.72,0.286,0.374,0.851,0.511,1.42,"turquoise",0.261,"turquoise",0.0319842860063582,118.152973070721,102.387679657562,15.7652934131583,86.6223862444041,0.42712839779952,116.387466461595,106.004372535686,10.3830939259095,95.6212786097764
"200024_at","RPS5","6193",0.517,0.984,0.565,1.71,0.283,0.551,1.2,0.725,2,"turquoise",0.259,"turquoise",0.286509456906057,17.9614562380951,10.9891231358698,6.97233310222537,4.01679003364441,0.258848401148215,14.2940269201669,8.78675562259865,5.50727129756821,3.27948432503044
"200027_at","NARS","4677",0.397,1.46,0.83,2.55,0.286,0.646,0.775,0.464,1.29,"grey",0.261,"grey",0.401209493236885,27.0979239937037,6.63097772932372,20.4669462643800,-13.8359685350562,0.189767482004916,3.01496664420590,0.970849608059732,2.04411703614617,-1.07326742808644
"200028_s_at","STARD7","56910",0.271,0.63,0.36,1.1,0.286,0.296,0.695,0.413,1.17,"grey",0.265,"grey",0.567030709125594,8.63305814315776,5.78515411609146,2.8479040270663,2.93725008902515,0.528708288941061,3.39391316756794,2.22338385936060,1.17052930820733,1.05285455115327
"200037_s_at","CBX3","11335",0.946,1.07,0.611,1.86,0.284,0.607,1.22,0.723,2.05,"grey",0.266,"grey",0.0241088635982073,19.8271522729349,10.9647362467298,8.86241602620517,2.10232022052458,0.216811308924742,9.39418334417706,3.77523317430534,5.61895016987172,-1.84371699556638
"200040_at","KHDRBS1","10657",0.483,0.877,0.502,1.53,0.284,0.803,1.06,0.64,1.76,"brown",0.258,"brown",0.316052869248488,15.3024803095761,7.45646548781339,7.84601482176272,-0.389549333949331,0.095284454721319,8.06989920773515,2.88044595829248,5.18945324944267,-2.30900729115019
"200041_s_at","BAT1","7919",0.664,0.719,0.411,1.26,0.286,0.99,1.27,0.766,2.11,"grey",0.258,"grey",0.177831920631982,26.5847411067068,9.40124308104138,17.1834980256654,-7.78225494462407,0.00436480540245009,7.39650441911538,2.41296088743601,4.98354353167937,-2.57058264424336
"200049_at","MYST2","11143",0.247,0.552,0.31,0.982,0.294,0.51,0.728,0.435,1.22,"grey",0.263,"grey",0.607303046740334,19.4547402482606,8.74102337309932,10.7137168751613,-1.97269350206199,0.292429823902064,4.06658165164356,2.18774097600666,1.87884067563690,0.308900300369751
"200052_s_at","ILF2","3608",0.627,1.12,0.644,1.96,0.283,0.895,1.04,0.629,1.72,"brown",0.257,"brown",0.202732459169284,37.9722339386218,14.2783753542752,23.6938585843466,-9.4154832300714,0.048176964684088,18.1359651563963,7.50910014718129,10.626865009215,-3.11776486203371
"200054_at","ZNF259","8882",0.761,1.18,0.676,2.07,0.286,0.121,1.57,0.94,2.63,"grey",0.263,"grey",0.118615343229427,15.1345720863579,6.6237025784351,8.51086950792276,-1.88716692948766,0.91721462968355,30.0928815128057,12.5701197892240,17.5227617235817,-4.95264193435768
"200057_s_at","NONO","4841",0.418,0.941,0.54,1.64,0.284,0.366,0.737,0.436,1.25,"brown",0.268,"brown",0.378823718224965,41.2360029021245,13.8934692868389,27.3425336152856,-13.4490643284467,0.436518914605589,13.6908531072832,3.39286109168827,10.2979920155949,-6.90513092390662
"200058_s_at","U5-200KD","23020",0.876,1.08,0.618,1.89,0.285,0.988,0.777,0.466,1.29,"grey",0.26,"grey",0.0574958938319193,20.9822626222791,8.25191448814213,12.730348134137,-4.47843364599488,0.00524305541237188,12.1648266551466,3.17837324206629,8.98645341308026,-5.80808017101397
"200059_s_at","RHOA","387",0.459,1.02,0.584,1.78,0.284,0.912,0.88,0.53,1.46,"turquoise",0.259,"turquoise",0.338187314462739,43.1631086000290,27.3255204322347,15.8375881677944,11.4879322644403,0.0400051616715838,7.95287704875941,2.32318261337149,5.62969443538791,-3.30651182201642
"200064_at","HSPCB","3326",0.674,1.18,0.675,2.07,0.286,0.157,0.482,0.283,0.821,"turquoise",0.271,"turquoise",0.171340103464680,27.0300049465929,18.9702833380566,8.0597216085363,10.9105617295202,0.804100347590766,24.7919056152875,19.5691975608462,5.22270805444132,14.3464895064049
"200072_s_at","HNRPM","4670",0.975,0.68,0.388,1.19,0.287,0.964,1.28,0.774,2.12,"grey",0.257,"grey",0.0109953843014632,30.078701997005,8.99606807288596,21.0826339241191,-12.0865658512331,0.0159229660971692,13.2666231444166,5.29631369176608,7.9703094526505,-2.67399576088442
"200077_s_at","OAZ1","4946",0.026,2.04,1.14,3.65,0.296,0.332,1.28,0.774,2.13,"grey",0.258,"grey",1.58502665202918,13.1950232567273,4.27151995705015,8.92350329967717,-4.65198334262702,0.478861916295964,3.08384133256446,1.35307150116958,1.73076983139488,-0.377698330225297
"200078_s_at","ATP6V0B","533",0.00552,1.54,0.879,2.71,0.288,0.178,1.38,0.824,2.3,"grey",0.262,"grey",2.2580609222708,21.8612280427647,5.83822507444605,16.0230029683187,-10.1847778938726,0.749579997691106,7.94545170455033,3.44579656434760,4.49965514020272,-1.05385857585512
"200083_at","USP22","23326",0.114,2.25,1.26,4.02,0.296,0.952,1.01,0.605,1.68,"grey",0.26,"grey",0.943095148663527,15.7002572448570,3.9556384197107,11.7446188251463,-7.78898040543562,0.0213630516155257,13.9545011186396,4.1855082285176,9.76899289012201,-5.58348466160441
"200594_x_at","HNRPU","3192",0.902,0.825,0.472,1.44,0.284,0.677,0.667,0.394,1.13,"grey",0.268,"grey",0.0447934624580583,18.7822805759496,7.69494915871081,11.0873314172388,-3.39238225852795,0.169411331314856,3.92173146650102,1.86255963874619,2.05917182775482,-0.196612189008628
"200599_s_at","TRA1","7184",0.935,1.11,0.637,1.94,0.284,0.0934,1.49,0.892,2.5,"grey",0.263,"grey",0.0291883891274822,27.7670573403891,12.4113797253859,15.3556776150033,-2.94429788961738,1.02965312376991,17.3644901172815,8.67670233698872,8.68778778029276,-0.0110854433040473
"200600_at","MSN","4478",0.603,1.28,0.727,2.26,0.289,0.363,1.04,0.628,1.72,"grey",0.258,"grey",0.219682687859849,61.71173248504,32.3603988325422,29.3513336524979,3.00906518004425,0.440093374963887,53.1179061243006,28.2162882727752,24.9016178515254,3.31467042124974
"200601_at","ACTN4","81",0.74,1.43,0.812,2.51,0.288,0.0554,1.1,0.658,1.82,"grey",0.26,"grey",0.130768280269024,19.38505749322,10.5700463412101,8.81501115200985,1.75503518920030,1.25649023527157,13.3342184495665,7.49745381970293,5.83676462986353,1.6606891898394
"200603_at","PRKAR1A","5573",0.613,0.951,0.544,1.66,0.284,0.921,1.14,0.681,1.91,"turquoise",0.263,"turquoise",0.212539525481585,43.22858168927,35.5529786794771,7.67560300979298,27.8773756696841,0.0357403698031511,39.3189468224437,33.2461484735969,6.07279834884673,27.1733501247502
"200606_at","DSP","1832",0.121,1.24,0.706,2.17,0.286,0.561,1.1,0.662,1.82,"blue",0.258,"blue",0.91721462968355,23.0181759114277,21.5296392412674,1.48853667016025,20.0411025711072,0.251037138743839,1.92164404682882,1.19903893112213,0.722605115706697,0.476433815415431
"200609_s_at","WDR1","9948",0.934,0.804,0.461,1.4,0.283,0.649,1.33,0.796,2.21,"grey",0.261,"grey",0.0296531237699066,63.9939216737176,25.0727491345178,38.9211725391998,-13.8484234046819,0.187755303199631,42.6863145226598,20.7237518343339,21.9625626883258,-1.23881085399194
"200618_at","LASP1","3927",0.191,1.8,1.02,3.18,0.291,0.529,0.975,0.588,1.61,"grey",0.258,"grey",0.718966632752272,20.9230608361183,9.38517244640243,11.5378883897158,-2.15271594331341,0.276544327964814,3.57993102536415,1.69397117706650,1.88595984829766,-0.191988671231161
"200619_at","SF3B2","10992",0.766,0.733,0.417,1.29,0.287,0.37,0.778,0.463,1.31,"grey",0.265,"grey",0.115771230367396,9.20351820551788,7.0161692355805,2.18734896993738,4.82882026564311,0.431798275933005,3.20360662896925,1.32136772224503,1.88223890672421,-0.560871184479179
"200620_at","C1orf8","9528",0.152,1.54,0.878,2.69,0.285,0.785,1.14,0.691,1.9,"blue",0.258,"blue",0.818156412055227,27.2901391445833,18.1981316491232,9.09200749546014,9.10612415366302,0.105130343254747,20.3582177597988,11.1665452065359,9.19167255326289,1.97487265327304
"200621_at","CSRP1","1465",0.044,1.88,1.07,3.3,0.288,0.321,1.18,0.713,1.97,"green",0.259,"green",1.35654732351381,25.8429824584429,12.0428783070242,13.8001041514187,-1.75722584439455,0.493494967595128,12.9885163169629,3.30314169959211,9.68537461737075,-6.38223291777864
"200623_s_at","CALM3","808",0.263,1.01,0.577,1.77,0.285,0.801,0.961,0.58,1.59,"turquoise",0.258,"turquoise",0.580044251510242,209.320955491296,192.248384640575,17.0725708507213,175.175813789853,0.0963674839157623,180.399381852439,167.312925562768,13.0864562896704,154.226469273098
"200631_s_at","SET","6418",0.883,1.2,0.69,2.1,0.284,0.906,0.832,0.495,1.4,"brown",0.264,"brown",0.0540392964224314,16.5188249501877,7.28775765883289,9.23106729135483,-1.94330963252194,0.0428718023231869,12.9704142605443,5.48015422316113,7.49026003738315,-2.01010581422202
"200634_at","PFN1","5216",0.743,1.02,0.584,1.78,0.285,0.048,1.75,1.03,2.99,"grey",0.272,"grey",0.129011186239425,101.105589327439,39.5281575462266,61.5774317812123,-22.0492742349857,1.31875876262441,74.166164149914,31.8906384857426,42.2755256641714,-10.3848871784288
"200644_at","MLP","65108",0.309,0.798,0.455,1.4,0.286,0.911,0.811,0.485,1.36,"grey",0.262,"grey",0.510041520575165,38.3791629400849,21.3629662910556,17.0161966490293,4.34676964202631,0.0404816230270017,8.88876229094797,4.22985904078514,4.65890325016283,-0.429044209377697
"200649_at","NUCB1","4924",0.829,1.09,0.62,1.93,0.289,0.257,1.12,0.674,1.85,"blue",0.257,"blue",0.0814454694497265,43.4439714400249,21.726134950962,21.7178364890629,0.0082984618991162,0.590066876668705,22.411693809401,5.10082549753431,17.3108683118667,-12.2100428143324
"200650_s_at","LDHA","3939",0.118,1.11,0.632,1.94,0.286,0.0221,1.57,0.937,2.63,"grey",0.263,"grey",0.928117992693875,27.7345983839690,19.3207298524851,8.41386853148384,10.9068613210013,1.65560772631489,30.510530826028,20.5319955406597,9.97853528536835,10.5534602552913
"200651_at","GNB2L1","10399",0.0537,0.624,0.355,1.1,0.287,0.681,0.836,0.502,1.39,"turquoise",0.261,"turquoise",1.27002571430044,48.6220151735974,38.3722761052189,10.2497390683786,28.1225370368403,0.166852888087215,51.9315729297447,42.1692594472986,9.7623134824461,32.4069459648525
"200652_at","SSR2","6746",0.456,1,0.575,1.75,0.284,0.611,1.24,0.746,2.08,"grey",0.261,"grey",0.341035157335565,34.1358029621087,9.61678004194542,24.5190229201632,-14.9022428782178,0.213958789757446,29.9797258923729,6.17450623830752,23.8052196540654,-17.6307134157579
"200654_at","P4HB","5034",0.22,1.12,0.64,1.96,0.286,0.00868,1.98,1.15,3.4,"grey",0.277,"grey",0.657577319177794,99.4410479860886,50.5842013206166,48.856846665472,1.72735465514462,2.06148027482351,77.0065527915288,38.0899680651742,38.9165847263546,-0.826616661180438
"200660_at","S100A11","6282",0.13,1.45,0.822,2.55,0.289,0.615,1.12,0.669,1.88,"blue",0.263,"blue",0.886056647693163,144.622956682995,68.1965399991298,76.426416683865,-8.22987668473525,0.211124884224583,81.6190616038239,41.7256263614081,39.8934352424158,1.83219111899223
"200661_at","PPGB","5476",0.654,0.841,0.482,1.47,0.284,0.465,1.03,0.623,1.72,"grey",0.259,"grey",0.184422251675733,33.4027362246496,18.0557638680795,15.3469723565701,2.70879151150944,0.332547047110046,27.2354587543038,14.0791849454110,13.1562738088927,0.922911136518302
"200662_s_at","TOMM20","9804",0.678,0.866,0.494,1.52,0.286,0.385,0.962,0.58,1.59,"turquoise",0.258,"turquoise",0.168770306132937,42.7226942603301,25.3945501380815,17.3281441222486,8.0664060158329,0.414539270491499,46.8964134207988,30.3566334771328,16.5397799436660,13.8168535334669
"200663_at","CD63","967",0.278,1.26,0.719,2.2,0.285,0.241,1.26,0.75,2.11,"grey",0.263,"grey",0.555955204081924,59.0259702569045,31.8204362790100,27.2055339778944,4.61490230111559,0.617982957425132,62.0241562975543,29.066254887188,32.9579014103663,-3.89164652317827
"200665_s_at","SPARC","6678",0.745,0.987,0.565,1.72,0.284,0.975,0.951,0.574,1.58,"turquoise",0.258,"turquoise",0.127843727251707,38.8320263187186,27.0875273647681,11.7444989539506,15.3430284108175,0.0109953843014632,20.5283773049408,14.8083522070560,5.72002509788488,9.08832710917109
"200669_s_at","UBE2D3","7323",0.484,1.05,0.601,1.83,0.284,0.378,0.96,0.57,1.62,"grey",0.266,"grey",0.315154638355587,63.3429586134206,23.862335299924,39.4806233134966,-15.6182880135726,0.422508200162775,7.70047168003493,3.56997562323635,4.13049605679858,-0.560520433562234
"200670_at","XBP1","7494",0.786,1.42,0.807,2.49,0.288,0.13,1.79,1.05,3.05,"blue",0.271,"blue",0.104577453960592,84.4513587648868,57.4817547297001,26.9696040351867,30.5121506945135,0.886056647693163,23.3473003280968,7.97191082098256,15.3753895071143,-7.4034786861317
